Size,Time_ms
6864962,1845.864
8384279,2343.343
2535469,730.051
7085872,1920.124
709978,181.165
8234427,2165.189
7381241,1929.882
6071246,1607.386
2432350,571.374
7858862,2029.757
8062072,2800.555
4369937,1141.168
1667422,406.453
6051248,1584.291
9014122,2419.006
2737913,800.950
2336486,572.554
4934616,1295.005
1818831,458.397
826509,194.060
8281208,2213.259
1461752,365.477
6183961,1631.779
5379020,1383.431
4966938,1314.068
4580729,1259.360
4367405,1064.392
7125630,1823.802
3913440,944.027
6796507,1938.579
5007875,1293.383
5812952,1490.308
3534009,873.957
5480054,1387.759
617419,139.767
8429359,2273.700
3659294,908.028
5264558,1409.097
458216,104.215
9242521,2597.318
2838790,803.997
3803289,970.258
6392364,1620.848
7792238,2045.095
1030881,233.202
7383296,1908.309
2868031,754.617
1532310,420.857
8418445,2276.062
4031075,1041.225
895395,207.819
2289029,582.984
9278818,2465.668
8651580,2472.214
309837,72.662
9453802,2981.693
8534397,2434.172
2543671,683.038
5194839,1407.952
4799208,1333.842
1209355,310.819
5436856,1401.653
6709943,2163.995
556485,142.382
9548599,2812.379
8762552,2423.528
5901928,1725.098
8523883,2225.647
2245249,693.487
4676471,1474.851
5196999,1496.670
5595,1.143
2187469,684.579
2225056,612.876
7414030,2362.588
7427901,2127.738
2588464,639.713
2061903,482.710
4025786,1162.016
9361460,2471.608
8178026,2251.797
794837,193.091
2549837,633.308
8873247,2288.135
2242767,598.870
5907608,1534.552
3683244,1011.681
127273,26.986
5898391,1527.700
7216415,1909.123
1460954,393.236
1092154,288.081
3474141,840.314
5981622,1558.510
717495,168.387
3794291,950.458
262866,64.066
4470828,1213.917
3325325,822.816
8590291,2298.464
1828770,426.787
3335994,861.102
9247129,2423.441
6832912,1835.013
6223197,1566.349
4818472,1226.728
734535,177.025
5162348,1367.571
5504928,1377.292
4429869,1148.941
1370255,342.935
8700529,2286.007
7635591,2032.330
4756289,1180.602
7014255,1837.430
3411485,937.975
5733499,1478.196
5130683,1283.954
5829874,1467.769
751084,179.002
750323,173.840
8264595,2109.617
1696440,448.328
9467708,2505.275
4710715,1128.999
443239,104.639
897703,223.347
5415097,1394.773
7419054,1892.958
9868070,2661.236
1143908,271.034
4781416,1250.373
6468277,1808.287
6055271,1580.778
4946614,1300.589
6201573,1645.799
6223591,1536.083
97475,28.042
703695,184.073
6743824,1692.584
9597161,2503.729
9005418,2274.012
4340206,1160.205
4236905,1022.254
6014601,1598.611
9103326,2360.597
6199694,1604.726
491262,107.541
6247551,1662.875
1585082,376.295
4590825,1121.369
7698678,2010.424
9913164,2728.072
3634479,907.818
3603140,867.179
8324414,2111.015
6293770,1663.768
9640126,2505.244
8262706,2074.568
3839792,921.182
857928,242.043
857141,225.722
7492942,1856.620
3090839,845.607
994673,227.974
1723374,408.458
725578,173.947
3018893,812.494
4179762,1012.365
3704645,865.022
3020192,802.136
7264366,1914.063
2577922,649.517
7828620,2008.991
4670911,1110.162
5304988,1303.224
3048427,747.302
5106967,1419.735
2381396,566.994
6835073,1789.120
5568148,1439.728
218919,70.766
6236911,1618.286
7126581,1863.567
2919673,718.841
1354492,373.069
1255435,308.298
3885835,957.152
9375007,2466.168
6901011,1778.767
2015401,479.429
1518760,364.316
820685,200.830
4946507,1270.765
9242911,2845.776
6798254,2144.875
8126637,2127.541
8519534,2303.707
1228718,304.723
227284,55.203
