Size,Time_ms
7539666,1919.879
8211550,2048.506
292236,63.349
1252284,313.893
5308936,1312.719
2685440,644.136
2072377,707.965
3877414,1762.807
178325,48.979
1424733,353.611
6998185,2151.481
6178462,2090.751
912682,263.840
9548661,4508.944
2399852,728.317
8855955,2469.401
4822435,1321.162
4227256,1088.777
9157501,2414.120
6335607,1686.448
547916,120.829
3240797,782.954
5307,1.094
4414921,1087.192
8064355,2052.119
7456894,1937.196
5292081,1295.293
8106946,2092.947
1162521,259.170
6864219,1877.014
1133656,259.348
7317987,1887.855
4517978,1102.984
1451594,345.705
3734436,884.130
8908061,2266.999
5193909,1390.768
1459565,430.496
342497,80.269
4218446,1956.458
6585010,2016.803
6076999,1863.639
1077022,329.357
4645548,1291.018
418448,166.016
6663323,2187.699
8480211,2766.231
4739234,1361.929
5394093,1665.089
6007982,2264.702
5827127,2539.402
5316412,2539.980
6471215,2389.118
1709771,574.208
3916868,1125.637
7570769,3080.775
5769139,1597.490
6162829,1777.583
5833786,1544.538
3644601,886.902
7845351,2033.987
6524072,1799.343
1464523,349.353
6573516,1724.733
3461941,851.105
9730357,2518.149
5000609,1352.571
3999937,970.655
9680339,2556.784
6854953,1819.472
4057039,1033.397
613497,144.255
9533727,2581.715
9847404,2563.714
6893647,1843.336
8903897,2287.355
9714630,2531.784
8114121,2162.974
7644968,1978.277
9500061,2463.585
8086522,2183.392
6857797,1960.226
8573170,2261.752
2642524,636.046
1257121,306.255
2268883,642.032
5571129,1519.815
1417319,340.078
1568534,403.292
395079,99.723
1121738,254.447
783073,181.088
7778400,2025.648
9631261,2576.580
4686917,1139.068
470253,119.858
8737111,2345.908
9918197,2708.941
2252975,547.533
3228596,803.314
577369,137.218
2973944,816.965
7074565,1932.584
9681119,2548.292
8191700,2265.796
5420975,1405.142
4133488,1041.323
7276284,2040.847
3831660,958.937
5468182,1555.555
7924849,2600.341
997356,230.384
9244512,2448.010
2881460,777.610
5416602,1353.339
7813477,2100.409
9170400,2653.026
9448832,2487.455
500786,127.234
515841,126.793
4460671,1081.151
8631959,2227.718
8371934,2205.706
5222611,1561.388
5838299,2755.579
5342616,1415.250
9523555,2503.329
8140712,2119.638
4604103,1295.871
7137558,2042.122
5198158,1393.858
7024484,2010.966
5634687,1468.261
798292,186.828
2999533,802.707
4293421,1162.489
6871123,1851.608
7429385,1960.621
3928697,941.519
9359350,2444.364
898345,278.626
3870126,957.243
1187889,281.465
1360838,320.771
8904767,2269.059
1039764,252.199
3032076,781.501
8648356,2237.821
2048758,479.583
2149859,498.458
9458542,2434.894
8108933,2041.945
2527364,631.659
9001780,2552.914
4969053,1224.730
2462599,617.502
5779849,1492.142
3447422,860.113
6487879,1641.160
2864373,706.518
798192,195.870
768212,185.562
9398974,2527.348
3394648,813.822
6387862,1737.420
7364102,1975.801
8274026,2034.065
4232122,1025.332
2206653,559.859
3825743,960.546
4815298,1291.972
5221361,1382.539
9255705,2412.616
1794545,423.691
6422619,1642.498
6072020,1576.583
8219770,2127.504
6187376,1656.523
4928702,1244.220
1214120,280.108
9857723,5480.084
9318991,3923.469
5869857,1964.544
363854,94.363
3637253,1444.018
6729026,2131.000
6091686,1791.756
8881074,3381.561
5745157,3626.605
3325089,1528.840
5416173,2341.014
8619054,2581.614
2685712,675.712
6506791,1907.850
537069,129.514
7591866,2086.531
7918461,2145.139
6580351,1798.281
6002721,1717.042
3543944,1317.441
